emotion,sentiment,subjectivity,orientation,chapter,paragraph,sentence
1,1,0,-1,1,4,5
0,1,0,-1,1,4,5
0,1,0,-1,1,4,5
-1,1,1,-1,1,4,5
-1,1,1,-1,1,4,5
-1,1,1,-1,1,4,5
-1,1,0,1,1,4,5
-1,1,-1,-1,1,4,6
-1,0,-1,-1,1,4,6
3,-1,-1,-1,1,4,6
1,1,0,-1,1,4,6
0,1,0,-1,1,4,6
0,1,0,-1,1,4,6
-1,1,1,-1,1,4,6
-1,1,1,-1,1,4,6
-1,1,1,-1,1,4,6
-1,1,0,1,1,4,6
-1,0,-1,-1,1,4,6
-1,1,-1,-1,1,5,0
-1,1,-1,-1,1,5,0
-1,0,-1,-1,1,5,0
3,-1,-1,-1,1,5,0
0,1,0,-1,1,5,1
0,1,0,-1,1,5,1
-1,1,1,-1,1,5,1
-1,1,1,-1,1,5,1
-1,1,1,-1,1,5,1
-1,1,0,1,1,5,1
-1,0,-1,-1,1,5,1
3,-1,-1,-1,1,5,1
-1,1,-1,-1,1,5,1
-1,1,-1,-1,1,5,1
-1,0,-1,-1,1,5,1
3,-1,-1,-1,1,5,1
1,1,0,-1,1,5,1
0,1,0,-1,1,5,1
0,1,0,-1,1,5,1
-1,1,1,-1,1,5,1
-1,1,1,-1,1,5,1
-1,1,1,-1,1,5,1
-1,1,0,1,1,5,1
1,1,0,-1,1,5,1
-1,1,-1,-1,1,5,1
-1,0,-1,-1,1,5,2
3,-1,-1,-1,1,5,2
-1,1,-1,-1,1,5,2
0,1,0,-1,1,5,2
0,1,0,-1,1,5,2
-1,1,1,-1,1,5,2
-1,1,1,-1,1,5,2
-1,1,1,-1,1,5,2
-1,1,0,1,1,5,2
-1,0,-1,-1,1,5,2
3,-1,-1,-1,1,5,2
-1,1,-1,-1,1,5,2
-1,1,-1,-1,1,5,2
-1,0,-1,-1,1,5,2
3,-1,-1,-1,1,5,2
1,1,0,-1,1,5,2
0,1,0,-1,1,5,2
0,1,0,-1,1,5,2
-1,0,-1,-1,1,5,2
-1,1,1,-1,1,5,2
-1,1,1,-1,1,5,2
-1,0,-1,-1,1,5,2
-1,0,-1,-1,1,5,2
3,-1,-1,-1,1,5,2
-1,1,0,1,1,5,2
-1,1,1,-1,1,5,2
-1,1,-1,-1,1,5,2
-1,1,-1,-1,1,5,2
-1,0,-1,-1,1,5,2
3,-1,-1,-1,1,5,2
1,1,0,-1,1,5,2
0,1,0,-1,1,5,2
0,1,0,-1,1,5,2
-1,0,-1,-1,1,5,2
-1,1,1,-1,1,5,2
1,1,0,-1,1,5,2
-1,1,0,1,1,5,2
-1,0,-1,-1,1,5,2
3,-1,-1,-1,1,5,2
-1,1,-1,-1,1,5,2
-1,1,-1,-1,1,5,2
-1,0,-1,-1,1,5,2
3,-1,-1,-1,1,5,2
0,1,0,-1,1,5,3
0,1,0,-1,1,5,3
-1,1,1,-1,1,5,3
-1,1,1,-1,1,5,3
-1,1,1,-1,1,5,3
-1,0,-1,-1,1,5,3
-1,1,-1,-1,1,5,3
-1,1,-1,-1,1,5,3
-1,0,-1,-1,1,5,3
3,-1,-1,-1,1,5,3
1,1,0,-1,1,5,3
0,1,0,-1,1,5,3
0,1,0,-1,1,5,3
-1,1,1,-1,1,5,3
-1,1,1,-1,1,5,3
-1,1,1,-1,1,5,3
-1,1,0,1,1,5,3
-1,1,-1,-1,1,5,3
-1,0,-1,-1,1,5,4
3,-1,-1,-1,1,5,4
1,1,0,-1,1,5,4
0,1,0,-1,1,5,4
0,1,0,-1,1,5,4
-1,1,1,-1,1,5,4
-1,1,1,-1,1,5,4
-1,1,1,-1,1,5,4
3,-1,-1,-1,1,5,4
-1,1,-1,-1,1,5,4
-1,1,-1,-1,1,5,4
-1,0,-1,-1,1,5,4
3,-1,-1,-1,1,5,4
1,1,0,-1,1,5,4
0,1,0,-1,1,5,4
0,1,0,-1,1,5,4
-1,1,1,-1,1,5,4
-1,1,1,-1,1,5,4
-1,1,-1,-1,1,5,4
-1,1,0,1,1,5,4
-1,0,-1,-1,1,5,4
-1,1,-1,-1,1,5,4
-1,1,-1,-1,1,5,4
-1,0,-1,-1,1,5,4
3,-1,-1,-1,1,5,4
1,1,0,-1,1,5,4
0,1,0,-1,1,5,4
0,1,0,-1,1,5,4
-1,1,1,-1,1,5,4
-1,1,1,-1,1,5,4
-1,1,1,-1,1,5,4
3,-1,-1,-1,1,5,4
-1,0,-1,-1,1,5,4
3,-1,-1,-1,1,5,4
0,1,0,-1,1,5,4
