word,emotion,sentiment,subjectivity,orientation,source
aggregation,,positive,,,inquirer
aggression,anger,negative,strong,active,emolex
aggressive,anger,negative,strong,active,emolex
aggressiveness,,negative,strong,active,opinion
aggressor,anger,negative,strong,,emolex
aggrieve,,negative,strong,active,opinion
aggrieved,,negative,strong,,opinion
aggrivation,,negative,,,opinion
aghast,disgust,negative,strong,,emolex
agile,,positive,weak,,emolex
agilely,,positive,weak,,opinion
agility,,positive,weak,,emolex
agitate,,negative,strong,active,mpqa
agitated,anger,negative,strong,,emolex
agitation,anger,negative,strong,active,emolex
agitator,,negative,strong,,mpqa
agonies,,negative,strong,,opinion
agonize,,negative,strong,passive,opinion
agonizing,fear,negative,strong,,emolex
agonizingly,,negative,strong,,opinion
agony,anger,negative,strong,,emolex
agree,,positive,strong,passive,emolex
agreeability,,positive,strong,,mpqa
agreeable,trust,positive,weak,,emolex
agreeableness,,positive,strong,,opinion
agreeably,,positive,strong,,opinion
agreed,trust,positive,,,emolex
agreeing,trust,positive,,,emolex
agreement,trust,positive,weak,,emolex
agriculture,,positive,,,emolex
aground,,negative,,,emolex
aha,,,strong,,mpqa
ahead,,positive,,,emolex
aid,,positive,,active,emolex
aiding,,positive,,,emolex
ail,sadness,negative,weak,passive,emolex
ailing,fear,negative,,,emolex
ailment,,negative,weak,,opinion
aim,,,,active,inquirer
aimless,,negative,strong,passive,emolex
air,,,strong,,mpqa
airport,anticipation,,,,emolex
airs,disgust,negative,weak,,emolex
akin,trust,,,,emolex
alabaster,,positive,,,emolex
alarm,fear,negative,weak,active,emolex
alarmed,,negative,strong,,opinion
alarming,fear,negative,strong,,emolex
alarmingly,,negative,strong,,opinion
alas,,negative,strong,,mpqa
alb,trust,,,,emolex
alcoholism,anger,negative,,,emolex
alert,,,weak,active,mpqa
alertness,anticipation,positive,,,emolex
alerts,anticipation,,,,emolex
alibi,,,,passive,inquirer
alien,disgust,negative,,,emolex
alienate,anger,negative,weak,,emolex
alienated,sadness,negative,weak,,emolex
alienation,anger,negative,weak,,emolex
alight,,positive,,,inquirer
alimentation,,positive,,,emolex
alimony,,negative,,,emolex
alive,anticipation,positive,,active,emolex
all-around,,positive,,,opinion
all-time,,,weak,,mpqa
allay,,positive,strong,,emolex
allegation,anger,negative,strong,,emolex
allegations,,negative,strong,,opinion
allege,,negative,weak,,emolex
allegiance,trust,positive,,,emolex
allegorize,,,strong,,mpqa
allegro,,positive,,,emolex
allergic,,negative,weak,,opinion
allergies,,negative,,,opinion
allergy,,negative,,,opinion
alleviate,,positive,weak,active,emolex
alleviation,,positive,,,emolex
alliance,trust,positive,strong,,emolex
alliances,,,strong,,mpqa
allied,trust,positive,,,emolex
allies,,positive,,,inquirer
allow,,positive,weak,passive,mpqa
allowable,,positive,weak,,emolex
allowance,,positive,,,inquirer
allure,anticipation,positive,strong,,emolex
alluring,,positive,strong,,emolex
alluringly,,positive,strong,,opinion
allusion,,,strong,,mpqa
allusions,,,strong,,mpqa
ally,trust,positive,strong,,emolex
almighty,,positive,strong,,emolex
aloha,anticipation,positive,,,emolex
aloof,,negative,strong,passive,emolex
alter,,,,active,inquirer
altercation,anger,negative,weak,,emolex
alternate,,,,active,inquirer
although,,negative,weak,,mpqa
altogether,,,strong,,mpqa
altruist,,positive,strong,,mpqa
altruistic,,positive,strong,,opinion
altruistically,,positive,strong,,opinion
amaze,surprise,positive,strong,,emolex
amazed,,positive,strong,,opinion
amazement,,positive,strong,,opinion
amazes,,positive,,,opinion
amazing,,positive,strong,,opinion
amazingly,joy,positive,strong,,emolex
ambassador,trust,positive,,,emolex
ambiguity,,negative,strong,,opinion
ambiguous,,negative,strong,,emolex
ambition,anticipation,positive,,,emolex
ambitious,,positive,weak,active,opinion
ambitiously,,positive,weak,,opinion
ambivalence,,negative,strong,,opinion
ambivalent,,negative,strong,,opinion
ambulance,fear,,,,emolex
ambush,anger,negative,weak,active,emolex
ameliorate,,positive,strong,active,emolex
amen,joy,positive,,,emolex
amenable,,positive,strong,,emolex
amend,,positive,,active,emolex
amends,,positive,,,emolex
amenity,,positive,weak,,emolex
amiability,,positive,strong,,opinion
amiabily,,positive,strong,,opinion
amiable,,positive,strong,,emolex
amicability,,positive,strong,,opinion
amicable,joy,positive,strong,,emolex
amicably,,positive,strong,,opinion
amiss,,negative,strong,,opinion
amity,,positive,weak,,opinion
ammonia,disgust,,,,emolex
amnesia,,negative,,,emolex
amnesty,joy,positive,weak,,emolex
amortization,trust,,,,emolex
amour,anticipation,positive,strong,,emolex
amphetamines,disgust,negative,,,emolex
ample,,positive,weak,,opinion
amplify,,positive,weak,active,mpqa
amply,,positive,weak,,opinion
amputate,,negative,weak,active,opinion
amuse,joy,positive,strong,active,emolex
amused,joy,positive,,,emolex
amusement,joy,positive,strong,,emolex
amusing,joy,positive,strong,,emolex
amusingly,,positive,strong,,opinion
anaconda,disgust,negative,,,emolex
anal,,negative,,,emolex
analysis,,,,active,inquirer
analyst,anticipation,positive,,,emolex
analytic,,,,active,inquirer
analytical,,,weak,active,mpqa
analyze,,,,active,inquirer
anarchism,anger,negative,strong,,emolex
anarchist,anger,negative,strong,,emolex
anarchistic,,negative,strong,,opinion
anarchy,anger,negative,strong,,emolex
anathema,anger,negative,,,emolex
ancestral,trust,,,,emolex
anchor,,positive,,,emolex
anchorage,sadness,positive,,,emolex
ancient,,negative,,,emolex
anemic,,negative,weak,,opinion
angel,anticipation,positive,weak,,emolex
angelic,joy,positive,strong,,emolex
anger,anger,negative,strong,active,emolex
angina,fear,negative,,,emolex
angling,anticipation,negative,,,emolex
angrily,,negative,strong,,opinion
angriness,,negative,strong,,opinion
angry,anger,negative,strong,active,emolex
anguish,anger,negative,strong,passive,emolex
animate,,positive,,,emolex
animated,joy,positive,weak,,emolex
animation,,,,active,inquirer
animosity,anger,negative,strong,,emolex
animus,anger,negative,,,emolex
annihilate,anger,negative,strong,active,emolex
annihilated,anger,negative,,,emolex
annihilation,anger,negative,strong,,emolex
announcement,anticipation,,,,emolex
annoy,anger,negative,strong,active,emolex
annoyance,anger,negative,strong,,emolex
annoyances,,negative,,,opinion
annoyed,,negative,strong,,opinion
annoying,anger,negative,strong,,emolex
annoyingly,,negative,strong,,opinion
annoys,,negative,,,opinion
annul,,negative,,,emolex
annulment,sadness,negative,,,emolex
anoint,,positive,,active,inquirer
anomalous,,negative,weak,,opinion
anomaly,fear,negative,weak,,emolex
anonymous,,negative,,,emolex
answer,,,,active,inquirer
answerable,trust,,,,emolex
antagonism,anger,negative,strong,active,emolex
antagonist,anger,negative,weak,,emolex
antagonistic,anger,negative,strong,active,emolex
antagonize,,negative,strong,active,opinion
anthrax,disgust,negative,,,emolex
anti-,,negative,strong,,opinion
anti-american,,negative,strong,,opinion
anti-israeli,,negative,strong,,opinion
anti-occupation,,negative,strong,,opinion
anti-proliferation,,negative,strong,,opinion
anti-semites,,negative,strong,,opinion
anti-social,,negative,strong,,opinion
anti-us,,negative,strong,,opinion
anti-white,,negative,strong,,opinion
antibiotics,,positive,,,emolex
antichrist,anger,negative,,,emolex
anticipate,,,,passive,inquirer
anticipation,anticipation,,,passive,emolex
anticipatory,anticipation,,,,emolex
antidote,anticipation,positive,,,emolex
antifungal,trust,positive,,,emolex
antipathy,anger,negative,strong,,emolex
antiquated,,negative,strong,,emolex
antique,,positive,,,emolex
antiseptic,trust,positive,,,emolex
antisocial,anger,negative,,,emolex
antithesis,anger,negative,,,emolex
antithetical,,negative,strong,,opinion
anxieties,,negative,strong,,opinion
anxiety,anger,negative,strong,passive,emolex
anxious,anticipation,negative,strong,passive,emolex
anxiously,,negative,strong,,opinion
anxiousness,,negative,strong,passive,opinion
anyhow,,,strong,,mpqa
anyway,,,strong,,mpqa
anyways,,,strong,,mpqa
apache,fear,negative,,,emolex
apathetic,sadness,negative,strong,passive,emolex
apathetically,,negative,strong,,opinion
apathy,sadness,negative,strong,passive,emolex
ape,,negative,strong,,mpqa
aphid,disgust,negative,,,emolex
aplomb,,positive,,,emolex
apocalypse,,negative,strong,,opinion
apocalyptic,,negative,strong,,opinion
apologetic,trust,positive,,,emolex
apologist,,negative,strong,,opinion
apologists,,negative,strong,,opinion
apologize,sadness,positive,,,emolex
apology,,positive,,,emolex
apostle,trust,positive,strong,,emolex
apostolic,trust,,,,emolex
apotheosis,,positive,strong,,opinion
appal,,negative,strong,,opinion
appall,,negative,strong,,opinion
appalled,,negative,strong,,opinion
appalling,disgust,negative,strong,,emolex
appallingly,,negative,strong,,opinion
apparent,,,weak,,mpqa
apparently,,,weak,,mpqa
apparition,fear,,,,emolex
appeal,anticipation,positive,weak,passive,emolex
appealing,,positive,strong,,opinion
appear,,,weak,passive,mpqa
appearance,,,weak,passive,mpqa
appease,,positive,weak,active,mpqa
append,,positive,,active,inquirer
appendicitis,fear,negative,,,emolex
applaud,,positive,strong,active,opinion
applause,joy,positive,,,emolex
applicant,anticipation,,,,emolex
apply,,,,active,inquirer
appoint,,positive,,active,inquirer
appointment,,,,active,inquirer
appreciable,,positive,weak,,opinion
appreciate,,positive,strong,passive,opinion
appreciated,,positive,,,opinion
appreciates,,positive,,,opinion
appreciation,joy,positive,strong,passive,emolex
appreciative,,positive,strong,,opinion
appreciatively,,positive,strong,,opinion
appreciativeness,,positive,strong,,mpqa
apprehend,fear,positive,weak,active,emolex
apprehension,fear,negative,strong,active,emolex
apprehensions,,negative,strong,,opinion
apprehensive,anticipation,negative,strong,passive,emolex
apprehensively,,negative,strong,,opinion
apprentice,trust,,,,emolex
approach,,positive,,active,inquirer
approaching,anticipation,,,,emolex
approbation,trust,positive,,,emolex
appropriate,,positive,weak,,opinion
appropriation,,negative,,,emolex
approval,,positive,weak,,emolex
approve,joy,positive,weak,,emolex
approving,,positive,,,emolex
apt,,positive,weak,,emolex
aptitude,,positive,weak,,emolex
aptly,,positive,weak,,mpqa
arbiter,trust,positive,,,emolex
arbitrary,,negative,strong,,opinion
arbitrate,,positive,,active,inquirer
arbitration,anticipation,positive,,,emolex
arbitrator,trust,,,,emolex
arcane,,negative,strong,,opinion
archaeology,anticipation,positive,,,emolex
archaic,,negative,strong,,emolex
architecture,trust,,,,emolex
ardent,anticipation,positive,strong,,emolex
ardently,,positive,strong,,opinion
ardor,,positive,strong,,emolex
arduous,,negative,strong,,emolex
arduously,,negative,strong,,opinion
argue,anger,negative,strong,active,emolex
argument,anger,negative,weak,active,emolex
argumentation,anger,,,,emolex
argumentative,,negative,strong,,emolex
arguments,anger,negative,weak,,emolex
arid,sadness,negative,,,emolex
arise,,,,active,inquirer
arisen,,positive,,,inquirer
aristocracy,,positive,,,emolex
aristocrat,,positive,,,inquirer
aristocratic,,positive,weak,,emolex
arm,,,,active,inquirer
armament,anger,,,,emolex
armaments,fear,negative,,,emolex
armed,anger,negative,,active,emolex
armor,fear,positive,,,emolex
armored,fear,,,,emolex
armory,trust,,,,emolex
aroma,,positive,,,emolex
